95 471
1 87 8
1 58 4
1 32 6
2 54 5
2 87 14
2 92 2
2 5 1
2 40 12
3 22 2
3 4 14
3 53 9
3 92 0
3 8 6
3 72 5
4 42 1
4 6 2
4 68 14
5 63 6
5 65 12
5 88 10
5 9 0
6 86 10
7 53 14
7 72 11
8 51 1
8 52 5
8 47 3
8 46 9
8 2 7
8 62 14
8 77 9
8 7 2
9 17 14
9 51 5
9 23 4
9 65 14
9 44 5
10 53 6
10 41 8
10 19 4
10 93 12
10 87 13
11 50 14
11 25 -1
11 69 14
11 21 13
11 80 2
11 93 8
11 91 9
12 82 5
12 81 13
12 91 10
12 15 13
12 68 6
13 83 2
13 51 0
13 2 11
13 41 13
13 31 5
14 21 0
14 82 7
14 39 -4
14 45 14
15 33 9
15 55 1
15 52 13
15 94 -3
15 89 9
15 59 1
16 47 6
16 19 2
16 86 2
18 64 12
18 94 1
18 86 14
18 14 13
18 88 8
19 85 7
19 25 13
19 22 -7
19 3 8
19 14 6
19 88 6
19 55 11
20 34 0
20 45 10
20 66 10
20 24 9
20 70 13
21 30 2
21 81 4
21 24 11
21 32 10
21 69 11
22 73 4
22 11 8
22 47 8
22 55 8
22 71 0
23 61 5
23 33 8
23 75 3
23 89 6
23 6 9
23 34 0
23 67 0
23 25 4
23 18 9
24 40 14
24 54 14
24 15 -8
24 38 8
25 40 7
25 73 14
25 33 14
25 91 14
25 78 12
25 68 1
26 48 14
26 75 6
26 10 6
26 95 3
26 34 2
26 21 8
27 67 9
27 18 4
27 1 14
27 93 9
27 66 13
27 21 12
28 70 5
29 10 3
29 46 14
29 58 5
29 22 7
30 32 4
30 37 2
30 13 7
30 52 4
30 22 5
31 57 14
31 56 7
32 19 13
32 36 12
32 38 2
32 11 8
33 14 6
33 41 8
33 35 0
33 66 2
33 94 9
33 9 4
34 92 13
34 72 8
34 31 11
34 19 7
34 45 7
34 59 1
34 53 0
34 81 9
35 17 8
35 3 8
35 4 12
35 94 11
35 84 14
36 91 11
36 7 4
36 84 5
36 88 11
36 47 4
36 15 11
37 26 2
37 12 10
37 35 8
37 64 1
37 38 12
37 48 3
37 84 0
37 49 14
37 61 13
37 20 9
38 31 14
38 9 10
38 28 7
38 80 2
38 77 13
39 61 14
39 29 8
39 66 3
39 79 4
39 36 11
39 60 13
40 89 5
40 74 1
40 86 1
40 12 3
40 93 1
40 32 0
40 68 -6
41 54 11
41 24 3
41 35 5
41 84 1
41 20 4
41 93 1
42 40 7
42 17 8
43 55 4
43 16 10
43 87 2
43 90 4
43 37 13
44 11 0
44 18 2
44 76 12
45 43 6
45 39 14
45 88 3
46 37 2
46 54 11
46 28 14
46 36 0
46 4 8
47 6 4
47 82 1
47 17 6
47 14 4
47 27 10
47 59 2
48 22 9
48 82 2
48 16 14
48 95 11
49 66 1
49 27 8
49 59 9
49 93 8
49 47 13
49 1 12
49 74 -3
50 33 8
50 43 10
50 85 13
50 95 8
50 54 3
50 94 5
50 58 10
50 74 7
51 68 13
51 85 12
51 48 13
51 20 12
51 22 7
51 5 6
51 59 12
51 29 2
52 93 3
52 61 2
52 38 10
52 23 7
52 76 14
53 81 11
53 62 9
53 89 0
54 38 3
54 66 13
54 84 10
54 94 6
54 92 5
54 8 5
55 26 13
55 65 14
56 64 4
56 95 1
56 55 5
56 65 5
56 68 5
57 72 12
57 48 -4
57 28 12
58 43 1
58 90 0
58 79 13
58 70 12
58 47 11
59 87 12
59 62 9
59 74 10
59 27 12
60 27 5
60 3 -4
60 23 5
60 45 3
60 16 14
60 42 14
60 25 13
60 54 7
60 24 11
61 25 12
61 90 7
61 66 4
61 5 1
61 60 14
61 20 4
62 49 0
62 34 6
62 5 3
62 6 12
62 31 7
62 18 5
62 89 14
62 79 6
63 67 9
63 21 10
63 19 12
63 50 5
63 55 13
63 69 6
64 9 10
65 8 9
65 17 10
65 24 13
65 53 4
66 34 4
67 29 13
67 81 2
67 16 5
68 26 3
68 36 11
68 61 11
68 31 8
69 85 8
69 72 14
69 51 10
69 14 9
69 10 11
69 38 12
70 75 10
70 49 3
70 12 12
70 2 8
70 1 -6
71 35 14
71 16 11
72 81 6
72 30 3
72 59 7
73 14 5
73 65 4
73 19 8
73 80 12
73 86 9
73 10 13
73 6 2
73 90 4
73 7 10
74 27 5
74 47 3
74 32 9
74 38 0
75 54 13
75 7 7
75 2 7
75 84 12
75 77 -5
75 41 1
76 42 10
76 13 3
76 4 14
76 5 2
