102 3466
1 66 28
1 35 11
1 82 9
1 41 25
1 54 19
1 18 22
1 70 17
1 67 16
1 31 9
1 94 22
1 7 29
1 24 7
1 6 0
1 17 26
1 95 1
1 61 14
1 33 10
1 21 28
1 13 2
1 86 14
1 28 22
1 3 8
1 58 15
1 102 0
1 71 11
1 101 28
1 2 28
1 50 6
1 29 4
1 34 1
1 59 13
1 85 25
1 84 4
1 37 22
1 43 20
1 46 24
1 4 6
1 25 0
1 99 10
1 75 16
1 77 14
1 56 9
1 52 23
1 55 15
1 22 27
2 31 24
2 25 29
2 14 7
2 84 22
2 67 24
2 30 21
2 64 6
2 45 2
2 91 29
2 6 28
2 92 6
2 48 27
2 33 27
2 11 12
2 76 24
2 49 20
2 69 17
2 80 11
2 56 25
2 81 2
2 36 23
2 77 19
2 47 8
2 50 15
2 88 21
2 72 24
2 10 0
2 82 0
2 4 17
2 19 15
2 98 28
2 83 4
3 92 6
3 36 27
3 91 26
3 93 0
3 85 11
3 47 25
3 74 25
3 50 10
3 55 23
3 58 1
3 77 29
3 2 12
3 72 5
3 70 15
3 101 3
3 83 22
3 89 18
3 32 20
3 86 16
3 62 12
3 57 9
3 42 25
3 39 27
3 26 22
3 41 19
3 84 19
3 6 14
3 67 29
3 94 4
3 65 12
3 49 3
3 34 3
3 82 2
3 29 21
3 88 3
3 5 13
3 23 16
3 69 20
3 56 23
3 73 10
4 10 13
4 101 14
4 3 22
4 45 10
4 76 22
4 99 17
4 93 3
4 34 10
4 44 7
4 60 19
4 78 22
4 58 8
4 20 6
4 5 12
4 24 0
4 71 26
4 50 1
4 7 15
4 17 17
4 56 28
4 37 19
4 38 20
4 25 1
4 92 21
4 59 11
4 83 26
4 46 4
4 23 28
4 55 17
4 51 19
4 84 0
4 94 0
4 11 4
5 36 22
5 86 11
5 48 26
5 45 10
5 40 6
5 49 6
5 59 17
5 84 17
5 101 21
5 82 26
5 88 16
5 85 25
5 32 18
5 34 12
5 91 18
5 100 3
5 37 21
5 19 16
5 41 23
5 2 11
5 93 17
5 54 6
5 44 14
5 68 6
5 15 11
5 67 12
5 77 23
5 51 0
5 12 12
5 20 15
5 71 26
5 81 27
5 66 18
5 92 14
5 63 7
5 83 16
6 98 13
6 64 16
6 23 26
6 91 4
6 71 4
6 97 12
6 79 21
6 85 23
6 81 24
6 4 9
6 30 26
6 82 15
6 19 26
6 21 11
6 32 18
6 58 5
6 51 18
6 11 2
6 17 11
6 36 21
6 75 7
6 25 26
6 8 21
6 46 11
6 33 4
6 5 10
6 90 8
6 100 22
6 40 24
6 92 7
6 87 1
7 85 7
7 40 24
7 94 27
7 46 3
7 69 20
7 72 9
7 57 24
7 6 13
7 53 25
7 91 4
7 5 2
7 61 2
7 92 22
7 9 5
7 74 20
7 23 27
7 70 23
7 25 14
7 38 1
7 102 6
7 35 21
7 17 27
7 98 20
7 75 25
7 36 23
7 10 0
7 58 3
7 49 8
7 22 24
7 45 3
7 100 9
8 64 24
8 99 19
8 39 6
8 41 19
8 27 9
8 47 15
8 50 14
8 100 15
8 1 2
8 26 10
8 49 17
8 63 4
8 97 2
8 67 14
8 76 16
8 45 29
8 66 0
8 86 0
8 69 22
8 24 6
8 7 14
8 38 12
8 68 26
8 3 9
8 74 5
8 4 26
8 72 4
8 53 13
8 73 13
8 9 29
8 46 22
8 31 29
8 81 18
8 32 20
8 84 18
8 18 28
8 102 27
8 55 2
9 56 5
9 5 29
9 54 4
9 47 14
9 4 3
9 95 6
9 66 28
9 35 19
9 53 28
9 79 28
9 55 12
9 12 20
9 21 5
9 25 18
9 59 24
9 3 23
9 32 19
9 23 0
9 22 20
9 87 23
9 34 5
9 1 25
9 85 15
9 43 20
9 91 24
9 58 3
9 51 10
9 44 4
9 81 23
9 38 8
9 28 29
9 52 28
9 99 7
9 100 3
9 10 12
9 26 3
9 78 10
9 30 3
9 33 14
9 73 0
10 86 1
10 17 26
10 92 12
10 90 28
10 56 6
10 93 7
10 42 22
10 27 25
10 54 29
10 11 4
10 67 11
10 52 4
10 16 29
10 41 26
10 3 16
10 79 15
10 95 29
10 99 27
10 39 19
10 24 15
10 12 27
10 28 18
10 8 13
10 48 26
10 96 22
10 14 18
10 20 29
10 47 24
10 70 21
10 1 6
10 26 16
10 15 22
10 66 24
10 57 28
10 83 13
10 98 1
10 91 27
10 40 5
11 74 26
11 40 26
11 54 9
11 21 29
11 7 23
11 35 8
11 91 25
11 5 9
11 81 15
11 27 17
11 44 28
11 29 4
11 25 2
11 79 25
11 47 23
11 53 7
11 20 14
11 28 7
11 83 25
11 57 5
11 9 23
11 82 8
11 52 11
11 23 9
11 102 23
11 73 6
11 45 7
