31 129
1 5 16
1 22 -5
1 29 19
1 14 7
1 8 8
2 18 19
2 23 16
3 20 -2
3 19 6
3 1 -13
3 22 1
3 6 19
3 31 1
4 8 19
4 27 0
4 10 5
4 22 7
4 26 4
5 8 0
5 27 2
5 9 16
5 11 10
5 7 12
6 14 12
6 20 5
6 22 2
7 8 0
7 15 18
7 25 18
8 13 -4
8 3 9
8 31 19
8 16 12
9 16 14
9 23 19
9 6 13
10 2 10
10 7 0
11 1 19
11 23 13
12 2 1
12 3 4
12 1 1
13 23 6
13 11 4
14 29 2
14 5 4
14 11 2
15 31 8
15 30 -12
15 4 -18
15 18 16
15 9 13
15 3 3
15 6 13
16 4 10
16 6 7
16 13 8
17 2 0
17 16 8
17 13 9
17 4 3
18 23 3
18 16 -13
18 25 6
18 19 12
18 17 15
19 13 17
19 28 16
19 16 -12
20 19 0
20 1 8
20 10 10
20 8 16
20 5 14
20 12 19
20 15 19
20 21 8
21 2 0
21 1 7
21 26 19
21 28 15
21 22 19
21 9 15
21 19 4
21 30 -9
21 6 5
22 9 3
22 30 17
22 14 18
22 27 9
23 25 7
23 16 12
23 3 3
23 19 9
24 7 2
24 20 1
24 26 6
25 31 1
25 21 0
25 5 3
25 3 1
25 6 10
25 14 16
25 1 -17
26 1 10
26 2 4
27 3 14
27 26 5
27 30 12
28 23 0
28 27 -6
28 20 16
28 4 18
29 3 6
29 17 7
29 27 11
29 28 11
29 15 17
29 16 12
29 6 14
30 14 12
30 3 12
30 29 10
31 6 9
31 22 15
31 29 0
31 17 -7
31 26 18
