45 151
1 11 5
1 19 7
1 5 4
1 22 0
2 13 2
2 36 16
2 6 10
3 45 12
3 37 12
4 30 5
4 7 2
4 19 0
5 4 18
6 35 18
6 3 -4
7 9 9
7 6 19
7 39 12
7 23 -14
8 2 19
8 34 13
8 12 10
8 13 0
9 26 19
9 39 13
10 1 1
10 23 4
10 17 1
12 36 6
12 7 4
12 20 2
13 17 4
13 33 2
14 3 8
14 38 12
15 28 18
15 13 16
15 23 13
15 43 3
15 4 13
16 37 10
16 1 7
16 15 8
16 39 0
16 17 8
16 7 9
17 40 3
17 37 3
17 21 13
18 36 6
18 14 12
18 22 15
18 41 17
18 29 16
18 4 14
18 15 0
20 38 8
20 15 10
20 16 16
20 17 14
21 31 19
21 30 19
21 18 8
22 21 0
22 7 -7
23 12 19
24 26 -15
24 32 19
24 30 15
24 40 4
24 11 9
24 39 5
24 2 3
25 2 17
25 19 18
25 35 9
25 28 -7
25 11 12
26 4 3
26 30 9
27 9 2
27 19 1
27 2 6
27 11 1
28 26 0
28 4 3
28 1 1
29 17 10
29 22 16
29 41 17
29 19 10
29 13 4
30 43 14
30 15 5
30 29 12
30 44 0
30 17 6
30 32 16
30 16 18
31 44 6
31 27 7
32 8 11
32 39 11
32 21 17
32 16 12
32 26 14
33 23 12
33 6 12
33 3 10
33 4 9
33 27 15
34 6 0
34 12 7
34 37 18
34 10 10
34 27 16
35 14 6
35 22 9
35 12 5
36 15 17
36 26 5
37 30 13
37 23 13
37 11 9
37 43 7
38 11 17
38 21 11
39 2 0
39 42 18
39 27 5
40 30 14
40 3 17
40 34 13
41 25 10
41 40 17
41 23 9
42 26 2
42 36 13
43 25 11
43 16 2
43 28 12
43 12 17
43 45 1
43 36 14
43 39 7
44 21 11
44 6 17
45 20 14
45 24 18
45 5 1
45 38 16
