57 148
1 34 1
1 42 14
1 20 6
1 43 4
1 23 5
1 49 5
2 17 2
3 41 9
3 4 0
3 27 7
4 23 11
4 21 0
4 52 7
5 15 2
6 21 10
7 24 2
8 47 10
9 25 8
10 48 8
10 44 9
11 31 14
11 25 9
11 28 12
12 14 -14
12 53 14
13 18 3
14 17 0
14 52 10
14 21 14
15 24 13
15 52 11
15 36 14
15 37 1
16 41 6
16 46 4
17 3 7
18 47 14
18 35 12
18 57 3
18 45 7
19 25 3
19 28 6
19 4 13
19 3 3
20 51 13
20 28 0
20 43 7
21 29 8
21 11 5
21 16 3
21 32 14
21 5 13
21 50 3
21 54 8
22 8 6
22 35 2
22 3 10
23 17 12
24 25 1
24 49 14
24 5 0
24 44 8
25 10 5
25 57 1
25 13 14
26 57 4
27 51 14
27 52 3
27 28 5
28 13 2
28 29 4
28 2 5
29 24 4
29 3 0
29 19 9
30 47 4
30 54 5
30 27 8
31 19 12
31 1 13
31 24 14
31 28 -2
31 54 12
32 31 8
32 57 9
32 27 12
32 22 6
32 9 11
33 42 11
33 6 0
34 15 3
34 14 6
35 57 0
35 55 11
36 34 2
36 8 0
37 7 4
37 31 14
38 56 0
38 41 2
39 26 10
39 33 6
40 5 1
40 42 3
40 29 6
41 45 2
42 6 6
42 20 11
43 27 7
43 50 2
43 29 9
43 36 2
44 29 12
44 2 5
44 28 9
44 30 5
45 8 5
45 43 12
45 9 13
46 37 10
46 54 11
47 6 6
47 34 4
48 34 0
48 56 2
48 22 5
49 7 13
49 3 8
49 30 9
50 25 7
51 56 12
51 30 6
51 45 0
52 54 8
53 35 5
53 24 9
53 50 7
53 38 3
54 27 10
54 38 7
54 47 14
55 28 7
55 45 13
56 45 6
56 28 12
57 28 2
57 50 2
57 13 11
