30 82
1 5 26
1 20 -5
1 14 15
2 5 8
3 14 1
3 19 -5
4 25 8
4 2 9
4 10 16
4 20 14
4 8 6
5 1 23
5 0 -3
5 24 27
5 23 21
5 11 29
6 11 21
6 21 6
9 29 19
9 16 7
9 22 17
9 24 29
9 23 24
9 10 13
10 14 25
10 15 13
10 4 4
10 6 4
10 3 25
11 4 29
11 24 7
11 14 26
12 18 22
13 10 5
14 5 12
14 16 19
14 11 6
14 29 28
14 19 18
15 17 19
16 19 21
16 25 18
16 23 -2
16 26 18
16 2 5
16 24 8
17 7 21
17 15 12
17 0 2
17 6 -2
17 4 9
17 14 -1
19 22 17
19 15 5
19 28 17
21 26 -5
21 14 -4
22 15 13
23 26 25
23 7 5
23 5 -1
24 10 15
24 6 7
25 13 8
25 0 9
26 11 29
26 4 20
26 27 -3
26 8 28
26 1 5
27 13 15
27 22 9
28 20 16
28 2 -1
28 0 30
28 12 0
28 10 -4
28 14 20
29 20 -4
29 3 29
29 5 10
29 7 -3
