31 129
1 5 0
1 22 5
1 29 11
1 14 7
1 8 4
2 18 11
2 23 0
3 20 6
3 19 14
3 1 1
3 22 9
3 6 3
3 31 9
4 8 3
4 27 4
4 10 9
4 22 7
4 26 0
5 8 0
5 27 6
5 9 4
5 11 14
5 7 12
6 14 8
6 20 9
6 22 6
7 8 0
7 15 10
7 25 10
8 13 12
8 3 1
8 31 3
8 16 4
9 16 10
9 23 11
9 6 9
10 2 2
10 7 4
11 1 11
11 23 9
12 2 5
12 3 8
12 1 9
13 23 14
13 11 0
14 29 2
14 5 0
14 11 -10
15 31 8
15 30 8
15 4 6
15 18 4
15 9 9
15 3 7
15 6 5
16 4 10
16 6 15
16 13 0
17 2 4
17 16 12
17 13 9
17 4 7
18 23 3
18 16 13
18 25 6
18 19 0
18 17 7
19 13 5
19 28 12
19 16 6
20 19 -12
20 1 12
20 10 2
20 8 4
20 5 10
20 12 11
20 15 15
20 21 12
21 2 4
21 1 15
21 26 15
21 28 7
21 22 3
21 9 7
21 19 8
21 30 1
21 6 13
22 9 15
22 30 9
22 14 6
22 27 5
23 25 7
23 16 4
23 3 7
23 19 13
24 7 2
24 20 5
24 26 2
25 31 5
25 21 8
25 5 7
25 3 1
25 6 6
25 14 4
25 1 5
26 1 2
26 2 12
27 3 14
27 26 13
27 30 8
28 23 12
28 27 6
28 20 4
28 4 10
29 3 2
29 17 7
29 27 11
29 28 15
29 15 9
29 16 0
29 6 14
30 14 8
30 3 12
30 29 10
31 6 13
31 22 3
31 29 12
31 17 11
31 26 2
