49 284
1 7 6
1 3 2
1 42 12
1 31 9
1 13 2
1 14 11
2 1 3
2 31 3
2 49 14
2 46 5
2 16 -1
2 30 5
3 8 4
3 6 3
3 10 0
3 22 2
4 22 2
4 7 3
4 1 1
4 36 6
5 23 8
5 24 14
5 2 14
5 41 12
5 29 8
5 15 -4
6 1 9
6 34 11
6 13 7
6 46 13
6 26 13
6 25 0
6 43 5
6 15 7
6 47 8
7 19 10
7 46 0
7 48 11
7 37 -3
7 21 4
8 17 9
8 45 5
8 40 3
9 18 0
9 36 0
9 19 4
9 30 7
9 39 13
9 3 6
9 49 10
10 48 11
10 17 0
10 28 6
10 38 -2
10 34 4
10 12 5
11 31 7
11 5 9
11 9 3
11 14 13
11 22 8
11 48 0
11 40 13
12 45 4
12 6 12
12 30 12
12 41 12
12 8 4
12 28 8
13 4 5
13 36 4
13 30 12
13 33 11
13 12 13
13 23 7
13 14 9
14 30 6
14 41 0
14 31 1
14 3 9
14 48 11
14 17 13
15 7 2
15 19 3
15 38 7
15 12 9
15 3 9
15 42 6
16 48 -3
16 3 12
16 8 9
16 42 11
17 19 1
17 39 4
17 27 0
17 35 14
17 28 11
18 23 3
18 17 6
18 40 2
18 38 7
19 5 2
19 39 1
19 12 0
19 23 5
19 11 0
20 15 3
20 3 14
20 30 1
20 46 5
20 49 2
20 32 12
20 18 1
20 29 4
21 22 7
21 20 12
21 28 9
21 1 1
21 35 7
21 19 0
21 31 12
22 28 3
22 1 4
22 20 4
22 12 12
22 18 6
23 32 13
23 24 12
24 16 10
24 32 5
24 12 0
24 41 9
24 48 1
24 21 12
24 34 3
24 38 5
24 43 11
24 1 8
25 24 2
25 8 12
25 16 0
25 49 13
25 31 5
25 2 12
26 8 -3
26 43 3
26 11 12
26 28 12
26 24 14
26 31 6
26 45 5
26 34 9
27 34 3
27 16 8
27 31 0
27 38 4
27 7 1
27 10 12
27 3 12
27 21 7
28 37 11
28 6 3
28 39 14
29 44 6
29 7 1
29 22 14
29 12 8
29 37 13
29 28 10
30 11 9
30 6 5
30 8 2
30 31 -7
31 48 12
31 8 8
31 41 4
31 7 6
31 35 5
32 48 14
32 1 2
32 34 1
32 45 12
32 12 2
32 46 14
32 3 9
32 29 0
33 6 6
33 15 5
33 24 1
33 20 2
33 49 14
33 45 -6
33 4 12
33 7 10
34 49 0
34 29 10
34 37 14
34 9 11
35 16 1
35 28 5
35 10 -3
35 3 9
35 48 7
36 25 14
36 18 9
36 19 2
36 48 14
36 2 5
36 26 4
37 36 14
37 15 5
37 26 6
38 6 8
38 29 4
38 34 12
39 27 13
39 1 14
39 11 1
39 13 14
39 48 13
39 6 2
40 21 8
40 29 9
40 19 5
40 33 13
40 44 10
40 34 13
40 12 6
40 42 -2
40 39 0
41 40 11
41 32 13
41 3 5
41 19 0
41 6 7
41 29 4
41 46 14
42 46 9
42 10 1
42 38 13
42 12 -3
42 27 9
42 39 1
43 44 6
43 14 2
43 10 2
44 6 12
44 23 1
44 33 14
44 30 13
44 14 8
45 15 7
45 43 13
45 39 7
45 19 8
45 22 6
45 7 6
46 48 11
46 40 0
46 4 10
46 8 10
46 23 9
46 44 13
46 17 2
46 33 4
46 25 11
46 1 10
46 34 11
46 49 4
46 31 8
47 5 8
47 46 8
47 13 0
47 3 -5
47 17 8
47 19 3
47 37 6
47 12 9
47 14 0
47 48 0
48 19 4
48 3 9
49 7 14
49 21 14
