62 532
1 22 3
1 60 -2
1 14 8
1 34 9
1 52 -4
1 29 14
1 50 9
1 9 13
1 5 12
2 49 -5
2 25 -3
2 17 14
2 37 5
2 10 7
2 18 -4
3 20 -2
3 50 7
3 1 -4
3 62 -5
3 16 14
3 53 7
3 31 13
3 43 12
3 21 -2
4 8 8
4 41 -6
4 56 8
4 11 0
4 27 -2
4 38 9
4 36 -4
4 13 13
5 39 8
5 45 11
5 38 7
5 23 -7
5 30 -1
5 14 0
5 43 9
5 46 8
5 25 8
5 2 12
5 54 11
5 60 14
6 20 11
6 22 4
6 49 5
6 39 11
6 27 4
6 30 11
6 48 2
6 23 10
6 28 8
7 38 -1
7 8 12
7 13 -3
7 50 0
7 22 14
7 40 13
7 14 -9
7 47 14
8 3 10
8 31 7
8 17 2
8 28 13
8 15 14
8 14 8
8 25 3
8 37 4
8 27 11
9 47 13
9 54 5
9 33 1
9 59 1
9 2 3
9 15 1
9 34 0
9 10 6
10 27 11
10 24 3
10 3 5
10 31 1
10 35 4
11 1 1
11 26 -7
11 36 8
11 61 4
11 40 10
11 6 2
11 34 4
11 41 13
11 30 0
12 33 2
12 1 12
12 46 6
12 8 14
12 48 3
12 10 2
12 52 11
13 11 14
13 44 0
13 14 8
13 42 4
13 22 1
13 27 6
13 26 4
13 23 10
14 60 2
14 11 9
14 62 2
14 49 14
14 33 11
14 45 1
15 30 8
15 4 9
15 3 8
15 37 13
15 58 12
15 43 3
15 44 8
15 25 10
16 4 13
16 6 8
16 20 3
16 28 5
16 8 10
16 10 7
16 62 13
16 24 12
16 54 13
17 33 12
17 44 7
17 35 6
17 5 12
17 30 2
17 34 3
17 59 2
17 52 10
17 38 7
18 54 14
18 16 11
18 19 9
18 20 0
18 57 3
18 44 13
18 11 10
18 59 6
18 37 5
18 41 5
19 44 13
19 59 14
19 56 4
19 15 1
19 30 5
20 50 5
20 10 5
20 5 12
20 22 4
20 15 12
20 39 1
20 57 0
20 19 13
20 17 12
21 33 11
21 1 12
21 28 9
21 22 10
21 40 12
21 19 5
21 30 4
21 37 5
21 9 3
21 45 14
21 38 14
21 5 13
21 23 7
21 8 11
22 9 12
22 61 7
22 37 4
22 29 1
22 49 14
22 47 4
22 34 0
22 18 6
22 19 3
22 45 12
22 42 7
22 43 5
23 16 14
23 19 6
23 48 9
23 53 10
23 4 12
23 56 5
23 36 13
23 58 6
24 20 10
24 26 9
24 27 10
24 6 13
24 61 4
24 28 4
24 62 13
24 9 2
24 13 5
25 36 3
25 34 11
25 37 11
25 45 8
25 14 8
25 60 14
25 22 10
25 42 9
25 39 11
26 1 12
26 32 10
26 21 3
26 28 12
26 39 8
26 36 6
26 3 14
26 41 11
26 18 6
27 3 3
27 57 7
27 61 5
27 53 4
27 44 8
27 45 12
27 11 9
27 62 13
27 54 2
28 54 4
28 27 10
28 20 5
28 55 3
28 11 9
28 51 0
28 48 13
29 3 7
29 58 7
29 47 12
29 34 5
29 37 1
29 27 10
29 56 3
29 38 14
29 49 2
29 33 5
29 11 1
29 14 13
29 12 7
29 59 2
30 34 1
30 60 3
30 36 13
30 41 13
30 8 13
30 52 8
30 57 4
30 56 8
31 17 4
31 57 12
31 16 3
31 48 11
31 44 12
32 5 7
32 8 10
32 59 4
32 48 9
32 7 11
32 28 8
32 36 3
32 52 3
32 14 4
32 58 14
32 41 6
33 54 5
33 32 8
33 55 5
33 3 5
33 37 7
33 50 14
34 19 14
34 53 5
34 37 -2
34 4 1
34 59 10
34 49 9
35 58 7
35 22 13
35 57 10
35 30 8
35 14 7
35 49 9
35 27 13
35 21 7
35 15 3
35 13 14
35 2 1
35 11 4
35 9 5
35 34 6
36 27 9
36 9 5
36 42 12
36 12 14
36 53 0
37 45 7
37 49 8
37 7 12
37 56 14
37 46 4
37 19 3
37 24 13
37 14 0
37 59 0
38 8 14
38 15 12
38 25 5
38 24 -1
38 41 13
38 10 10
38 6 14
38 35 5
38 54 11
38 58 7
38 37 6
38 60 5
39 13 14
39 16 7
39 21 5
39 2 4
39 15 13
40 6 5
40 45 4
40 16 5
40 18 7
40 15 0
40 13 10
40 42 7
40 28 6
40 20 0
41 2 9
41 7 7
41 12 9
41 19 8
41 5 13
41 20 12
41 47 6
41 56 7
42 23 9
42 8 5
42 6 12
42 29 8
42 50 -1
42 34 12
42 51 13
42 28 4
42 37 10
42 2 0
42 30 2
43 20 4
43 34 6
43 41 11
43 25 10
43 44 0
43 30 0
43 40 6
43 6 1
43 29 3
43 42 6
43 46 1
43 16 4
43 50 10
43 47 1
44 23 4
44 51 4
44 9 11
44 56 1
44 11 7
44 52 10
44 26 0
45 36 11
45 52 13
45 15 12
45 10 6
45 44 8
45 13 6
45 50 12
46 62 11
46 18 5
46 9 10
46 31 0
46 47 12
46 29 5
46 14 5
46 53 10
46 40 1
46 15 4
46 4 10
47 13 0
47 27 11
47 5 0
47 20 5
47 51 11
47 61 4
47 60 9
48 16 3
48 27 12
48 5 10
48 44 3
48 22 2
48 53 4
49 56 11
49 17 10
49 12 9
49 60 14
49 43 3
50 16 14
50 19 4
50 47 1
50 14 11
50 6 14
50 10 4
50 15 6
50 49 6
50 21 13
50 51 14
51 1 10
51 8 10
51 43 1
51 15 0
51 52 8
51 13 14
51 57 3
51 45 9
51 61 4
51 32 7
52 26 12
52 43 7
52 6 2
52 57 5
52 48 5
52 37 9
52 35 7
52 18 13
52 13 7
53 14 8
53 58 8
53 39 14
53 9 3
53 18 0
53 40 14
53 21 9
53 41 10
54 25 8
54 34 13
54 12 4
54 7 2
54 15 3
54 61 2
54 6 3
54 42 13
54 29 1
55 38 11
55 5 9
55 45 9
55 12 5
55 30 9
56 62 4
56 21 8
56 6 9
56 32 10
56 31 9
56 16 4
56 3 6
56 1 5
56 42 8
56 8 13
57 33 1
57 3 10
57 50 14
57 9 11
57 16 11
57 26 10
57 48 9
57 28 5
57 38 2
57 58 8
58 49 5
58 26 0
58 24 11
58 48 13
58 33 0
58 21 5
59 54 11
59 35 3
59 3 11
59 2 14
59 4 11
59 28 8
59 6 12
59 23 0
59 14 6
59 62 9
60 48 12
60 59 14
60 15 6
60 24 4
60 20 7
60 9 6
60 8 2
60 58 5
60 37 14
60 10 13
61 14 13
61 33 7
61 13 4
61 29 1
61 55 0
61 42 13
61 39 11
61 17 5
62 37 9
62 22 7
62 60 3
62 1 4
62 49 6
62 30 4
62 41 13
