27 178
1 13 0
1 2 14
1 23 8
1 10 12
1 20 10
1 24 13
2 15 3
2 23 12
3 2 11
3 9 2
3 27 10
3 18 8
3 20 14
3 8 9
4 12 5
4 26 1
4 16 1
4 1 9
4 22 9
4 25 1
4 13 15
5 17 5
5 16 7
5 3 12
5 23 2
5 4 9
5 20 2
5 7 13
5 21 5
6 8 14
6 5 9
6 19 1
6 4 14
6 12 5
6 16 15
6 26 10
7 11 4
7 1 1
7 21 1
7 19 14
7 12 11
7 6 15
7 17 9
7 10 14
7 27 2
7 24 9
7 16 12
8 25 7
8 5 4
8 13 2
9 27 2
9 1 2
9 2 12
9 24 1
9 5 0
9 26 0
9 14 7
9 10 9
9 4 11
10 3 15
10 14 -4
10 2 10
10 8 3
10 20 12
11 27 13
11 20 11
11 24 11
11 4 5
11 8 1
11 14 5
11 3 6
12 16 13
12 2 5
12 17 14
12 23 14
12 18 15
12 20 6
13 12 3
13 27 10
13 22 0
13 9 14
14 24 6
14 15 10
14 17 1
14 13 1
15 26 13
15 7 13
15 22 6
15 11 -1
15 9 3
15 3 2
15 12 2
15 23 11
15 24 1
16 18 5
16 15 12
16 10 13
16 9 12
16 20 13
16 27 3
16 25 5
16 21 7
16 19 11
17 10 4
17 3 1
17 6 12
18 9 10
18 19 11
18 22 4
18 23 11
18 6 14
18 13 12
18 26 -10
18 25 3
18 4 6
18 2 7
19 26 6
19 10 13
19 1 11
19 8 15
19 23 10
19 22 0
19 3 10
20 13 10
20 19 8
20 22 7
21 22 14
21 24 1
21 20 11
21 8 0
21 10 10
21 13 13
21 3 5
21 25 3
21 2 13
22 12 13
22 17 13
22 16 11
22 6 8
22 23 5
22 3 12
23 3 6
23 4 15
23 21 2
23 7 12
23 26 13
23 25 10
23 13 8
24 5 5
24 3 0
24 13 13
24 12 9
24 8 10
24 23 2
24 16 11
25 7 3
25 1 4
25 3 1
25 12 2
25 11 14
25 2 6
25 14 5
25 19 6
26 11 1
26 13 8
26 3 14
26 12 15
26 22 0
26 21 12
26 10 12
26 2 9
27 23 14
27 20 10
27 6 1
27 22 3
27 17 10
27 26 11
27 19 10
