42 235
1 19 4
1 40 16
1 38 26
1 37 17
1 5 23
2 20 16
2 29 27
2 31 6
2 1 26
3 20 16
3 27 10
3 15 13
3 25 21
3 38 25
3 22 17
3 6 5
4 1 25
4 26 13
4 12 27
4 6 25
4 24 27
4 28 0
5 7 2
5 17 25
5 3 10
5 27 5
6 1 25
6 34 18
6 41 13
6 5 21
6 14 18
7 30 9
7 1 15
7 41 6
8 9 8
8 25 17
8 23 13
8 35 18
8 31 7
8 33 11
8 21 9
9 10 22
9 2 2
9 29 9
9 31 24
9 36 3
10 20 24
10 28 26
10 15 18
10 40 22
11 31 20
11 18 1
11 10 12
11 30 16
12 27 15
12 23 21
12 7 11
12 24 15
12 11 0
13 4 26
13 15 23
13 19 24
13 2 25
13 11 27
13 14 11
13 16 21
13 36 1
13 22 5
13 38 10
14 39 1
14 7 17
14 10 6
14 38 10
14 20 27
15 38 2
15 17 3
15 22 10
15 42 0
15 16 18
16 32 18
16 40 18
16 20 1
16 38 1
16 9 1
16 28 1
17 12 6
17 1 9
17 36 3
17 41 6
17 7 26
17 6 23
18 15 17
18 10 9
18 41 8
18 9 13
18 2 24
18 7 5
18 40 19
18 38 5
18 27 3
19 36 19
19 12 20
19 11 -5
19 16 4
19 21 22
19 14 3
19 29 12
20 18 19
21 26 6
21 32 4
21 3 10
21 14 3
21 34 10
21 35 19
21 20 -10
21 17 5
22 24 15
22 42 15
22 35 6
22 2 16
22 34 18
22 10 14
22 27 24
23 32 7
23 30 6
23 9 1
23 17 23
23 19 12
24 37 10
24 6 5
24 13 25
24 27 7
24 35 5
25 37 17
25 13 25
25 12 7
25 31 8
25 9 -13
25 33 0
25 1 14
25 15 27
25 2 2
26 3 4
26 36 13
26 38 -18
26 33 4
26 6 25
26 1 24
27 14 1
27 1 25
27 17 14
27 41 22
27 38 11
27 13 11
28 34 12
28 18 13
29 4 26
29 36 18
29 35 2
29 3 13
30 32 18
30 34 21
30 5 24
30 15 18
31 4 27
31 3 20
31 1 4
32 36 8
32 39 5
32 31 10
33 34 14
33 15 25
33 19 11
33 12 10
33 20 27
33 24 18
33 30 9
33 39 16
33 18 25
33 23 27
33 9 18
34 10 21
34 36 1
34 4 22
34 11 2
34 23 20
34 3 12
34 5 12
34 24 -1
35 9 -4
35 30 2
35 7 1
36 21 14
36 35 2
36 33 20
36 23 3
37 36 17
37 39 16
37 3 23
37 30 9
37 38 11
37 21 25
37 18 15
37 28 14
38 17 15
38 32 12
38 33 21
39 6 26
39 10 27
39 29 3
39 27 25
39 30 1
39 11 0
39 22 1
39 4 24
39 35 4
40 29 8
40 11 14
40 27 6
40 13 8
40 5 26
40 2 7
40 17 18
41 40 12
41 4 17
41 35 20
41 33 18
41 19 25
41 3 7
41 30 25
41 1 21
42 29 22
42 3 26
42 34 9
42 14 16
