40 326
1 10 9
1 17 11
1 37 1
1 25 4
1 3 0
1 38 14
1 39 11
2 36 3
2 31 6
2 11 2
2 16 7
2 25 2
2 30 -1
2 9 0
3 28 5
3 26 0
3 19 3
3 27 14
3 29 1
3 21 5
3 31 2
3 16 12
3 36 -1
4 7 4
4 31 7
4 12 12
4 18 9
4 16 1
4 38 7
4 33 0
4 5 12
5 8 3
5 16 4
5 20 4
5 29 12
5 24 6
5 31 13
5 27 12
5 38 10
5 21 5
5 18 0
5 32 9
5 12 1
6 2 12
6 37 3
6 30 5
6 39 11
6 20 8
6 15 2
6 3 12
6 12 0
6 11 13
7 10 5
7 2 12
7 12 3
7 1 3
7 27 12
7 22 12
7 20 14
7 6 6
7 35 5
7 34 9
8 30 3
8 9 8
8 17 0
8 13 4
8 31 1
8 27 12
8 19 12
8 29 7
8 11 11
8 39 3
8 40 14
9 32 6
9 10 1
9 30 14
9 40 8
9 7 13
10 22 10
10 3 9
10 38 5
10 31 2
10 5 7
10 4 12
11 20 8
11 5 4
11 16 6
11 35 5
11 29 14
11 27 2
11 10 1
11 19 12
11 25 2
11 39 14
12 9 9
12 3 0
12 21 6
12 1 5
12 16 1
12 22 2
12 23 14
12 17 6
13 17 12
13 21 10
13 37 0
13 30 10
13 6 14
13 36 11
13 40 1
13 32 5
13 28 3
13 12 9
14 7 7
14 19 14
14 12 9
14 15 2
14 29 14
14 9 5
14 13 4
14 39 14
14 8 5
14 35 6
15 8 8
15 20 4
15 2 12
15 9 13
15 36 14
15 12 1
15 31 14
15 34 13
15 18 2
15 19 8
16 29 9
16 15 5
16 8 13
17 26 10
17 5 13
17 23 6
17 11 2
17 18 0
17 25 11
17 4 13
18 36 5
18 23 0
18 12 7
18 21 4
18 28 14
18 39 9
18 40 1
18 6 13
18 37 3
19 6 9
19 36 -1
19 29 6
19 34 2
19 31 2
19 10 12
19 7 1
19 21 14
19 22 13
19 26 8
20 13 7
20 25 13
20 9 -7
20 17 8
20 31 6
20 37 6
20 19 11
20 10 0
20 40 10
20 12 10
20 4 9
20 18 13
20 2 2
20 3 4
21 27 11
21 30 10
21 23 11
21 4 4
21 28 8
21 7 8
21 25 8
21 2 0
21 20 5
22 40 8
22 1 3
22 11 6
22 8 9
22 3 0
22 18 0
22 24 4
23 11 9
23 4 14
23 19 14
23 26 8
23 25 8
23 29 7
23 28 14
23 30 14
23 20 14
23 35 12
24 20 1
24 12 14
24 14 6
24 34 6
24 16 3
24 25 2
24 2 8
24 35 9
24 28 4
25 18 14
25 19 9
25 14 13
25 3 12
25 22 5
25 30 3
26 6 14
26 10 5
26 20 7
26 29 4
26 24 2
26 1 7
27 13 4
27 6 5
27 4 14
27 9 7
27 33 13
27 36 12
28 16 2
28 2 8
28 17 6
28 6 8
28 9 0
28 32 2
28 40 9
29 25 4
29 36 13
29 12 8
29 17 11
29 32 7
29 13 7
29 28 1
29 4 0
29 24 9
30 14 8
30 38 8
30 3 12
30 10 11
30 31 14
30 35 11
30 34 4
30 1 5
30 19 11
31 9 4
31 24 11
31 16 2
31 26 10
31 13 8
31 25 1
32 38 12
32 11 3
32 34 0
32 10 14
32 23 13
32 22 9
32 20 14
32 17 10
33 32 7
33 11 2
33 29 13
33 37 14
33 7 8
33 5 3
33 3 4
34 16 11
34 17 13
34 18 5
34 21 1
34 13 1
34 6 3
34 9 1
34 38 0
34 39 6
35 5 11
35 40 3
35 19 5
35 2 1
35 27 4
35 18 1
35 34 7
35 1 8
35 4 4
35 16 10
36 11 2
36 8 4
36 34 13
36 5 0
36 40 2
37 34 12
37 2 6
37 19 14
37 9 -3
37 4 2
37 21 11
37 23 14
37 8 0
37 3 8
37 5 4
37 22 1
37 36 6
38 13 4
38 29 10
38 37 2
38 28 9
38 35 2
38 2 14
38 31 11
39 5 1
39 26 8
39 19 9
39 12 8
39 31 13
40 14 12
40 3 3
40 32 8
40 23 10
