35 81
1 35 8
2 24 14
2 32 0
2 1 8
2 9 3
3 6 3
3 13 11
3 17 13
3 11 8
3 12 11
4 27 4
4 8 3
4 5 9
5 13 2
5 15 14
5 20 0
5 9 5
5 25 -7
6 25 4
7 27 5
7 11 14
8 28 9
8 14 12
9 11 7
9 22 0
10 29 8
11 2 2
11 4 14
11 10 1
12 7 10
12 31 11
12 19 0
12 1 1
13 10 13
13 14 0
13 26 4
13 34 12
14 22 8
14 10 12
15 23 14
18 34 12
18 8 0
18 12 2
18 2 -9
18 16 8
19 5 3
19 6 6
20 8 13
20 11 10
20 10 4
20 2 14
21 5 9
22 16 13
23 6 5
23 27 11
24 1 14
25 3 10
25 29 6
25 22 6
26 1 0
27 15 4
27 5 2
27 29 13
28 2 9
29 17 11
29 21 12
29 22 6
30 32 13
30 19 1
30 13 14
31 16 6
31 21 4
31 3 5
32 3 5
32 29 -2
32 6 9
32 33 0
33 26 7
33 5 11
35 18 0
35 30 7
