31 222
1 5 12
1 22 6
1 29 0
1 14 8
1 8 5
1 28 9
1 17 7
1 7 3
2 18 10
2 23 7
2 1 14
2 24 7
2 25 13
3 20 6
3 19 12
3 1 2
3 22 2
3 6 11
3 31 4
3 4 7
4 8 6
4 27 2
4 10 9
4 22 8
4 26 1
4 30 1
4 25 6
4 14 11
4 11 8
4 7 3
4 18 0
4 5 7
5 8 12
5 27 11
5 9 6
5 11 2
5 7 12
5 23 9
6 14 2
6 20 11
6 22 3
6 18 3
6 7 14
6 8 5
7 8 1
7 15 5
7 25 4
7 13 3
7 19 0
7 22 2
7 9 2
8 13 3
8 3 1
8 31 6
8 16 8
8 17 14
8 28 14
9 16 12
9 23 8
9 6 5
9 14 9
9 2 11
9 28 7
10 2 13
10 7 13
10 27 0
10 19 5
10 24 7
10 5 8
10 3 10
11 1 0
11 23 11
11 8 3
11 26 4
11 30 9
11 6 5
11 9 3
12 2 0
12 3 0
12 1 4
12 10 7
12 15 13
12 25 6
12 13 10
12 8 11
13 23 0
13 11 6
13 14 2
13 20 4
14 29 5
14 5 7
14 11 9
14 21 3
14 31 13
14 15 8
15 31 0
15 30 13
15 4 4
15 18 12
15 9 12
15 3 12
15 6 4
15 27 8
15 16 5
16 4 4
16 6 12
16 13 11
16 20 13
16 27 7
16 5 9
17 2 6
17 16 0
17 13 1
17 4 9
17 5 11
17 27 13
18 23 2
18 16 3
18 25 7
18 19 9
18 17 9
18 20 6
18 26 3
18 12 12
19 13 9
19 28 11
19 16 1
19 25 4
19 14 0
19 6 14
20 19 11
20 1 3
20 10 -6
20 8 2
20 5 7
20 12 2
20 15 1
20 21 0
20 22 5
20 26 0
21 2 3
21 1 14
21 26 1
21 28 5
21 22 2
21 9 12
21 19 1
21 30 4
21 6 7
21 12 12
22 9 9
22 30 1
22 14 7
22 27 0
22 8 12
22 29 3
22 18 4
23 25 -4
23 16 12
23 3 6
23 19 13
23 17 12
23 12 10
24 7 5
24 20 0
24 26 9
24 27 1
24 6 12
25 31 3
25 21 5
25 5 11
25 3 8
25 6 2
25 14 12
25 1 0
25 16 13
25 11 5
26 1 12
26 2 3
26 3 -3
26 19 12
26 9 12
26 16 14
27 3 6
27 26 5
27 30 9
27 18 3
28 23 8
28 27 0
28 20 4
28 4 1
28 3 12
28 2 12
28 6 7
28 24 11
29 3 3
29 17 14
29 27 6
29 28 1
29 15 14
29 16 8
29 6 13
29 24 10
29 20 9
29 25 5
29 7 2
29 18 7
30 14 12
30 3 8
30 29 4
30 2 6
30 13 5
30 5 14
30 24 2
31 6 1
31 22 12
31 29 2
31 17 14
31 26 9
31 1 0
31 16 6
31 18 5
