42 235
1 19 32
1 40 2
1 38 5
1 37 24
1 5 30
2 20 30
2 29 27
2 31 13
2 1 5
3 20 16
3 27 31
3 15 34
3 25 0
3 38 32
3 22 10
3 6 33
4 1 18
4 26 34
4 12 27
4 6 32
4 24 6
4 28 0
5 7 23
5 17 25
5 3 24
5 27 12
6 1 18
6 34 25
6 41 27
6 5 14
6 14 32
7 30 23
7 1 1
7 41 27
8 9 22
8 25 17
8 23 6
8 35 4
8 31 7
8 33 11
8 21 2
9 10 29
9 2 23
9 29 16
9 31 31
9 36 31
10 20 31
10 28 33
10 15 18
10 40 15
11 31 27
11 18 22
11 10 26
11 30 16
12 27 22
12 23 7
12 7 4
12 24 22
12 11 21
13 4 33
13 15 23
13 19 24
13 2 25
13 11 6
13 14 25
13 16 14
13 36 8
13 22 5
13 38 17
14 39 22
14 7 3
14 10 6
14 38 31
14 20 13
15 38 9
15 17 24
15 22 17
15 42 28
15 16 25
16 32 4
16 40 11
16 20 22
16 38 8
16 9 8
16 28 15
17 12 20
17 1 2
17 36 3
17 41 20
17 7 5
17 6 16
18 15 3
18 10 9
18 41 29
18 9 20
18 2 3
18 7 5
18 40 5
18 38 19
18 27 17
19 36 33
19 12 6
19 11 -5
19 16 11
19 21 15
19 14 31
19 29 12
20 18 19
21 26 20
21 32 32
21 3 24
21 14 3
21 34 3
21 35 33
21 20 10
21 17 33
22 24 29
22 42 22
22 35 27
22 2 2
22 34 4
22 10 28
22 27 10
23 32 14
23 30 27
23 9 1
23 17 23
23 19 12
24 37 24
24 6 26
24 13 25
24 27 21
24 35 -19
25 37 31
25 13 18
25 12 7
25 31 8
25 9 27
25 33 14
25 1 14
25 15 6
25 2 23
26 3 32
26 36 34
26 38 11
26 33 11
26 6 4
26 1 10
27 14 29
27 1 11
27 17 28
27 41 1
27 38 32
27 13 32
28 34 12
28 18 6
29 4 5
29 36 25
29 35 30
29 3 13
30 32 4
30 34 21
30 5 10
30 15 32
31 4 27
31 3 6
31 1 4
32 36 22
32 39 12
32 31 24
33 34 -21
33 15 32
33 19 25
33 12 17
33 20 13
33 24 4
33 30 9
33 39 2
33 18 11
33 23 13
33 9 32
34 10 0
34 36 15
34 4 15
34 11 9
34 23 6
34 3 12
34 5 33
34 24 15
35 9 11
35 30 23
35 7 22
36 21 7
36 35 30
36 33 13
36 23 10
37 36 17
37 39 23
37 3 23
37 30 2
37 38 32
37 21 4
37 18 1
37 28 0
38 17 29
38 32 33
38 33 28
39 6 5
39 10 34
39 29 31
39 27 32
39 30 22
39 11 7
39 22 1
39 4 3
39 35 4
40 29 1
40 11 21
40 27 34
40 13 8
40 5 33
40 2 0
40 17 4
41 40 5
41 4 17
41 35 27
41 33 32
41 19 18
41 3 14
41 30 11
41 1 0
42 29 29
42 3 12
42 34 16
42 14 2
