30 187
1 29 43
1 18 49
1 12 3
1 7 12
1 10 50
1 30 7
1 13 17
1 24 38
1 9 31
1 26 27
1 8 13
1 19 28
1 9 20
1 5 50
1 2 29
1 12 13
1 17 7
1 3 28
1 17 13
1 7 -5
1 17 36
1 15 47
2 29 35
2 23 32
3 5 21
4 16 40
4 25 40
4 2 12
4 26 23
4 5 47
4 27 14
4 17 -1
4 28 35
4 29 37
4 17 14
4 5 4
4 2 31
4 15 5
4 21 24
4 11 18
4 19 28
4 8 39
4 13 32
5 23 44
5 20 49
5 2 45
5 14 16
5 10 34
5 9 15
5 14 25
5 15 45
5 17 -3
5 8 41
7 30 42
7 25 15
7 2 37
7 14 31
7 8 48
7 12 34
7 1 20
8 2 9
8 30 40
8 29 49
8 23 29
8 26 16
8 29 -5
8 9 13
8 28 0
8 25 5
8 15 10
8 4 22
8 28 44
8 13 47
8 14 32
8 24 39
8 12 37
8 15 47
8 9 29
8 21 39
8 25 5
9 14 2
9 22 32
9 21 11
9 7 10
9 30 19
9 22 -5
9 16 7
9 10 -3
9 23 33
9 17 3
9 12 30
9 11 48
10 26 22
10 3 0
10 21 17
10 25 5
10 5 25
10 7 37
10 28 25
10 16 37
14 8 37
14 15 -2
14 5 23
14 21 34
14 8 6
14 15 11
14 11 17
14 13 6
14 22 16
14 24 50
14 30 26
14 13 19
14 26 -2
14 28 32
14 9 21
14 17 17
14 22 38
14 27 18
14 8 6
14 6 12
15 6 3
15 7 47
15 17 31
15 25 18
16 9 12
16 11 31
16 28 25
16 24 -3
16 15 3
16 2 27
16 21 28
17 11 29
18 30 15
18 28 26
18 23 9
18 1 20
18 29 6
18 11 30
20 25 48
22 8 32
22 3 47
22 5 9
22 8 45
22 17 28
22 5 26
22 3 -3
22 12 42
22 28 49
23 5 -4
23 28 34
24 27 34
24 7 27
24 12 0
24 5 -5
24 25 -5
24 26 21
24 7 41
26 9 31
26 13 -4
26 24 41
26 17 18
26 17 24
26 1 43
26 24 27
26 17 18
27 20 45
27 9 32
27 20 4
27 24 26
27 16 42
27 11 9
27 18 27
27 7 12
27 13 26
27 19 7
27 28 48
28 10 26
28 10 0
28 22 17
28 5 -2
28 24 7
28 17 49
28 16 11
30 3 30
30 5 48
30 5 48
30 24 50
