50 186
1 37 3
1 6 7
2 31 3
3 7 6
3 50 13
4 2 3
4 20 13
5 50 0
5 19 7
5 37 8
5 14 5
6 26 3
6 40 14
6 5 13
6 2 3
7 24 8
7 34 -6
7 41 2
7 2 10
9 16 12
9 46 1
9 17 14
10 28 0
10 37 8
10 24 5
10 32 1
11 14 14
11 43 4
12 19 14
12 43 3
12 11 5
12 31 2
12 5 4
13 28 5
13 24 4
13 21 0
13 25 9
14 27 4
14 8 5
14 39 8
14 19 12
14 23 13
15 18 14
15 29 2
16 21 12
16 40 8
18 30 9
18 36 12
18 2 6
18 43 11
18 7 11
18 47 0
19 46 3
19 29 6
19 22 0
20 18 11
20 25 2
20 33 0
20 50 4
20 37 14
21 19 0
21 34 2
21 37 10
21 25 6
22 20 1
22 6 3
22 5 6
22 18 2
23 37 6
23 9 11
23 26 7
23 29 2
23 16 9
23 20 2
23 1 12
23 50 5
24 32 9
24 27 5
25 46 5
25 15 12
25 22 13
25 44 10
25 38 11
25 41 6
26 8 4
26 36 0
27 29 2
27 19 5
27 37 13
27 5 8
27 17 9
27 43 7
27 10 12
28 16 6
28 1 0
29 22 8
29 30 5
29 39 9
29 6 7
30 3 3
30 24 10
30 39 7
30 38 14
30 1 7
30 19 13
30 20 6
30 35 12
31 35 2
32 18 2
32 26 11
32 31 4
33 31 7
33 46 6
33 11 2
33 30 9
33 2 8
33 9 1
33 6 1
34 45 6
35 38 11
35 28 8
35 15 3
35 29 0
35 41 7
35 9 12
35 22 11
37 43 6
37 6 2
37 42 12
37 16 9
37 8 2
37 11 11
38 9 3
38 7 3
38 29 14
38 13 5
39 35 -1
40 13 5
40 12 4
41 10 3
41 27 0
41 30 2
41 50 2
41 23 3
41 46 1
41 18 6
41 43 8
42 31 14
42 1 14
43 15 12
43 38 8
43 23 5
43 19 9
44 36 11
44 7 7
44 1 13
44 42 13
44 12 0
44 14 5
44 6 7
45 40 8
45 20 10
45 41 0
45 27 11
45 5 3
45 3 4
46 21 9
46 7 5
47 32 3
47 30 0
47 24 0
47 2 4
47 19 7
48 3 13
48 22 6
48 4 10
48 8 11
49 25 0
49 12 6
49 23 2
49 14 4
49 41 5
50 22 7
50 44 9
50 32 3
50 47 13
